#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-08-20T05:18:33', checksum=2950940446, kind='quantile-0.85', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0011775,poe-0.0013865,poe-0.0016326,poe-0.0019224,poe-0.0022636,poe-0.0026654,poe-0.0031386,poe-0.0036957,poe-0.0043517,poe-0.0051241,poe-0.0060336,poe-0.0071046,poe-0.0083657,poe-0.0098506,poe-0.0115991,poe-0.0136580,poe-0.0160823,poe-0.0189369,poe-0.0222983,poe-0.0262563,poe-0.0309168,poe-0.0364046,poe-0.0428665,poe-0.0504754,poe-0.0594349,poe-0.0699847,poe-0.0824071,poe-0.0970346,poe-0.1142584,poe-0.1345395,poe-0.1584205,poe-0.1865405,poe-0.2196518,poe-0.2586404,poe-0.3045496,poe-0.3586078,poe-0.4222614,poe-0.4972136,poe-0.5854700,poe-0.6893921,poe-0.8117606,poe-0.9558498,poe-1.1255150,poe-1.3252962,poe-1.5605390,poe-1.8375378,poe-2.1637044,poe-2.5477663,poe-3.0000000
174.82111,-41.16430,0.00000,9.688861E-01,9.647539E-01,9.599289E-01,9.537824E-01,9.462063E-01,9.375319E-01,9.274224E-01,9.148635E-01,9.001513E-01,8.832709E-01,8.618748E-01,8.381997E-01,8.108093E-01,7.789791E-01,7.420265E-01,7.017430E-01,6.584291E-01,6.073295E-01,5.542493E-01,5.013240E-01,4.418297E-01,3.865766E-01,3.285393E-01,2.717403E-01,2.213527E-01,1.793019E-01,1.391188E-01,1.047026E-01,7.937263E-02,5.927082E-02,4.400252E-02,3.159025E-02,2.283522E-02,1.646296E-02,1.192829E-02,8.463977E-03,6.081413E-03,4.091586E-03,3.095180E-03,2.496878E-03,1.498876E-03,9.995002E-04,4.998750E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.72530,-41.28380,0.00000,9.678229E-01,9.634875E-01,9.582182E-01,9.517182E-01,9.443291E-01,9.353327E-01,9.243698E-01,9.117957E-01,8.961698E-01,8.781056E-01,8.556334E-01,8.305843E-01,8.017232E-01,7.697747E-01,7.314926E-01,6.934847E-01,6.515279E-01,6.035874E-01,5.508500E-01,4.938368E-01,4.379134E-01,3.784255E-01,3.236840E-01,2.697000E-01,2.210433E-01,1.800398E-01,1.398083E-01,1.046132E-01,7.983283E-02,5.832962E-02,4.505352E-02,3.352513E-02,2.420231E-02,1.793716E-02,1.390246E-02,1.004915E-02,6.975557E-03,5.484903E-03,3.992011E-03,3.095180E-03,1.998001E-03,1.498876E-03,1.099375E-03,9.995002E-04,5.998000E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78860,-41.25260,0.00000,9.678518E-01,9.637675E-01,9.586341E-01,9.523655E-01,9.450752E-01,9.363018E-01,9.250848E-01,9.130043E-01,8.973365E-01,8.787618E-01,8.585204E-01,8.326544E-01,8.048330E-01,7.737919E-01,7.374725E-01,6.940995E-01,6.508650E-01,5.999237E-01,5.481020E-01,4.943950E-01,4.393733E-01,3.797917E-01,3.210447E-01,2.687497E-01,2.228330E-01,1.778223E-01,1.394633E-01,1.071171E-01,8.157954E-02,6.030500E-02,4.314172E-02,3.159025E-02,2.371429E-02,1.646296E-02,1.222449E-02,9.058701E-03,5.982036E-03,4.489890E-03,3.095180E-03,2.596603E-03,1.998001E-03,1.498876E-03,9.995002E-04,5.998000E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.80280,-41.24950,0.00000,9.683083E-01,9.640742E-01,9.589761E-01,9.525794E-01,9.447673E-01,9.355586E-01,9.245360E-01,9.122529E-01,8.977056E-01,8.788826E-01,8.594511E-01,8.346155E-01,8.063868E-01,7.734746E-01,7.369729E-01,6.949543E-01,6.504809E-01,6.045377E-01,5.501314E-01,4.939396E-01,4.335688E-01,3.773042E-01,3.202291E-01,2.671348E-01,2.222109E-01,1.757652E-01,1.406680E-01,1.033592E-01,7.688365E-02,5.644440E-02,4.180112E-02,3.304177E-02,2.381189E-02,1.695460E-02,1.291586E-02,9.653027E-03,7.074835E-03,5.484903E-03,3.992011E-03,2.496878E-03,1.998001E-03,1.498876E-03,9.995002E-04,9.995002E-04,4.998750E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
174.76871,-41.28250,0.00000,9.678454E-01,9.633301E-01,9.583727E-01,9.519398E-01,9.443069E-01,9.353779E-01,9.248673E-01,9.113889E-01,8.964808E-01,8.783220E-01,8.572698E-01,8.318332E-01,8.055142E-01,7.723379E-01,7.348074E-01,6.926597E-01,6.486940E-01,6.015583E-01,5.486893E-01,4.908372E-01,4.371819E-01,3.813403E-01,3.251062E-01,2.750843E-01,2.229883E-01,1.802041E-01,1.397223E-01,1.061345E-01,8.020088E-02,6.058694E-02,4.505352E-02,3.352513E-02,2.439737E-02,1.685631E-02,1.252093E-02,9.455018E-03,6.578248E-03,4.987521E-03,3.493882E-03,2.496878E-03,1.998001E-03,9.995002E-04,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.77380,-41.32330,0.00000,9.671335E-01,9.629431E-01,9.577223E-01,9.515343E-01,9.441284E-01,9.347348E-01,9.239146E-01,9.099044E-01,8.953881E-01,8.762009E-01,8.559219E-01,8.307198E-01,8.017051E-01,7.701198E-01,7.349402E-01,6.934884E-01,6.494315E-01,5.994032E-01,5.499966E-01,4.951490E-01,4.330544E-01,3.768074E-01,3.217233E-01,2.645676E-01,2.167464E-01,1.747751E-01,1.362743E-01,1.047032E-01,8.112022E-02,6.068086E-02,4.495804E-02,3.362171E-02,2.478760E-02,1.842807E-02,1.370504E-02,1.054400E-02,7.471945E-03,5.086997E-03,3.593508E-03,2.596603E-03,1.998001E-03,1.498876E-03,5.998000E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.79240,-41.30910,0.00000,9.756494E-01,9.731798E-01,9.703086E-01,9.664593E-01,9.619896E-01,9.568771E-01,9.499882E-01,9.422767E-01,9.328077E-01,9.216680E-01,9.088273E-01,8.919646E-01,8.728257E-01,8.491994E-01,8.221828E-01,7.921002E-01,7.582859E-01,7.213225E-01,6.744694E-01,6.262992E-01,5.728404E-01,5.150426E-01,4.596821E-01,3.993842E-01,3.401199E-01,2.858055E-01,2.338671E-01,1.880364E-01,1.446973E-01,1.065813E-01,8.194686E-02,6.443062E-02,4.686574E-02,3.497376E-02,2.420231E-02,1.783897E-02,1.311318E-02,9.058701E-03,6.578248E-03,4.987521E-03,2.995505E-03,1.998001E-03,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78439,-41.32050,0.00000,9.744368E-01,9.718188E-01,9.684474E-01,9.642427E-01,9.589514E-01,9.528018E-01,9.455460E-01,9.366446E-01,9.257408E-01,9.127945E-01,8.974370E-01,8.806625E-01,8.594922E-01,8.347501E-01,8.065623E-01,7.742889E-01,7.351786E-01,6.942837E-01,6.493949E-01,5.996034E-01,5.456102E-01,4.898240E-01,4.308407E-01,3.750602E-01,3.190728E-01,2.685306E-01,2.218996E-01,1.751040E-01,1.366183E-01,1.061345E-01,7.946359E-02,5.974106E-02,4.304604E-02,3.197755E-02,2.342128E-02,1.636462E-02,1.103860E-02,8.959621E-03,5.982036E-03,4.091586E-03,2.995505E-03,1.498876E-03,9.995002E-04,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78909,-41.32430,0.00000,9.669489E-01,9.625368E-01,9.574509E-01,9.512525E-01,9.437414E-01,9.342895E-01,9.230341E-01,9.095174E-01,8.943896E-01,8.759525E-01,8.551997E-01,8.301942E-01,8.020617E-01,7.699594E-01,7.348872E-01,6.935794E-01,6.481675E-01,5.978779E-01,5.451550E-01,4.901299E-01,4.354915E-01,3.792952E-01,3.221968E-01,2.702836E-01,2.193278E-01,1.715509E-01,1.325497E-01,1.033592E-01,7.845154E-02,5.974106E-02,4.553087E-02,3.246144E-02,2.381189E-02,1.793716E-02,1.350792E-02,9.950167E-03,6.975557E-03,4.987521E-03,3.992011E-03,2.496878E-03,1.498876E-03,1.498876E-03,9.995002E-04,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.82330,-41.30600,0.00000,9.670314E-01,9.628057E-01,9.575233E-01,9.510912E-01,9.438371E-01,9.345193E-01,9.239755E-01,9.108112E-01,8.950213E-01,8.777636E-01,8.566118E-01,8.313281E-01,8.027533E-01,7.683892E-01,7.314711E-01,6.899742E-01,6.430593E-01,5.948893E-01,5.426013E-01,4.845408E-01,4.318096E-01,3.729318E-01,3.176414E-01,2.639067E-01,2.167472E-01,1.712194E-01,1.334192E-01,1.032696E-01,7.826729E-02,5.889355E-02,4.256697E-02,3.265485E-02,2.469009E-02,1.793716E-02,1.291586E-02,8.563106E-03,5.982036E-03,4.489890E-03,2.995505E-03,1.998001E-03,1.498876E-03,9.995002E-04,4.998750E-04,4.998750E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
