#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-08-20T05:18:33', checksum=2950940446, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0011775,poe-0.0013865,poe-0.0016326,poe-0.0019224,poe-0.0022636,poe-0.0026654,poe-0.0031386,poe-0.0036957,poe-0.0043517,poe-0.0051241,poe-0.0060336,poe-0.0071046,poe-0.0083657,poe-0.0098506,poe-0.0115991,poe-0.0136580,poe-0.0160823,poe-0.0189369,poe-0.0222983,poe-0.0262563,poe-0.0309168,poe-0.0364046,poe-0.0428665,poe-0.0504754,poe-0.0594349,poe-0.0699847,poe-0.0824071,poe-0.0970346,poe-0.1142584,poe-0.1345395,poe-0.1584205,poe-0.1865405,poe-0.2196518,poe-0.2586404,poe-0.3045496,poe-0.3586078,poe-0.4222614,poe-0.4972136,poe-0.5854700,poe-0.6893921,poe-0.8117606,poe-0.9558498,poe-1.1255150,poe-1.3252962,poe-1.5605390,poe-1.8375378,poe-2.1637044,poe-2.5477663,poe-3.0000000
174.82111,-41.16430,0.00000,9.673039E-01,9.622587E-01,9.561947E-01,9.486710E-01,9.392507E-01,9.283527E-01,9.148635E-01,8.983785E-01,8.794873E-01,8.577970E-01,8.322868E-01,8.023979E-01,7.700745E-01,7.312571E-01,6.860433E-01,6.366904E-01,5.870794E-01,5.355958E-01,4.808176E-01,4.290765E-01,3.787365E-01,3.239579E-01,2.767498E-01,2.289484E-01,1.865737E-01,1.521063E-01,1.245349E-01,9.471005E-02,7.225651E-02,5.256789E-02,3.824929E-02,2.761163E-02,2.029130E-02,1.439538E-02,9.455018E-03,6.478921E-03,4.489890E-03,3.493882E-03,1.998001E-03,1.498876E-03,4.998750E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.72530,-41.28380,0.00000,9.657990E-01,9.607969E-01,9.546570E-01,9.471871E-01,9.371183E-01,9.250550E-01,9.118310E-01,8.950216E-01,8.749448E-01,8.518456E-01,8.243040E-01,7.937157E-01,7.559788E-01,7.183246E-01,6.745349E-01,6.269341E-01,5.806293E-01,5.273972E-01,4.729712E-01,4.204481E-01,3.690319E-01,3.178461E-01,2.745768E-01,2.293338E-01,1.894158E-01,1.546462E-01,1.205864E-01,9.516259E-02,7.364709E-02,5.493351E-02,4.065067E-02,3.052443E-02,2.127052E-02,1.439538E-02,1.044507E-02,6.975557E-03,4.489890E-03,2.995505E-03,1.998001E-03,1.498876E-03,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78860,-41.25260,0.00000,9.665264E-01,9.613226E-01,9.550633E-01,9.472663E-01,9.376193E-01,9.259489E-01,9.120951E-01,8.953883E-01,8.756307E-01,8.525108E-01,8.251803E-01,7.957683E-01,7.609302E-01,7.191684E-01,6.745349E-01,6.239375E-01,5.742913E-01,5.236012E-01,4.734979E-01,4.207378E-01,3.661862E-01,3.205693E-01,2.723972E-01,2.274048E-01,1.865737E-01,1.512580E-01,1.205864E-01,9.471005E-02,7.132830E-02,5.540593E-02,3.921056E-02,2.906912E-02,2.029130E-02,1.488806E-02,9.950167E-03,7.471945E-03,4.489890E-03,2.995505E-03,1.998001E-03,1.498876E-03,4.998750E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.80280,-41.24950,0.00000,9.664259E-01,9.613999E-01,9.551979E-01,9.469754E-01,9.377128E-01,9.264287E-01,9.127083E-01,8.961700E-01,8.771756E-01,8.539053E-01,8.272656E-01,7.971929E-01,7.623604E-01,7.201496E-01,6.759962E-01,6.310152E-01,5.799997E-01,5.228861E-01,4.734979E-01,4.198682E-01,3.687164E-01,3.164804E-01,2.705759E-01,2.246960E-01,1.886048E-01,1.512580E-01,1.188259E-01,9.335110E-02,6.946910E-02,5.256789E-02,3.824929E-02,2.761163E-02,2.078103E-02,1.439538E-02,9.950167E-03,6.478921E-03,4.489890E-03,3.493882E-03,2.496878E-03,1.498876E-03,4.998750E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.76871,-41.28250,0.00000,9.663250E-01,9.611870E-01,9.550858E-01,9.470814E-01,9.374632E-01,9.255405E-01,9.114776E-01,8.953883E-01,8.768682E-01,8.533930E-01,8.266600E-01,7.948471E-01,7.596118E-01,7.198696E-01,6.740463E-01,6.248765E-01,5.745041E-01,5.188133E-01,4.679405E-01,4.166687E-01,3.652347E-01,3.154544E-01,2.687501E-01,2.250835E-01,1.886048E-01,1.516822E-01,1.214654E-01,9.697045E-02,7.457297E-02,5.446086E-02,3.921056E-02,2.955447E-02,2.127052E-02,1.439538E-02,1.044507E-02,7.471945E-03,5.484903E-03,2.995505E-03,1.998001E-03,1.498876E-03,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.77380,-41.32330,0.00000,9.655415E-01,9.602243E-01,9.536948E-01,9.455787E-01,9.360721E-01,9.245662E-01,9.101847E-01,8.924178E-01,8.729913E-01,8.495313E-01,8.224494E-01,7.922667E-01,7.573172E-01,7.186062E-01,6.756720E-01,6.263740E-01,5.781055E-01,5.183319E-01,4.666087E-01,4.125711E-01,3.671362E-01,3.154544E-01,2.716692E-01,2.266318E-01,1.886048E-01,1.504088E-01,1.214654E-01,9.516259E-02,7.272027E-02,5.682176E-02,4.160953E-02,2.955447E-02,2.175977E-02,1.488806E-02,1.044507E-02,6.975557E-03,4.489890E-03,2.995505E-03,1.998001E-03,1.498876E-03,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.79240,-41.30910,0.00000,9.750654E-01,9.721522E-01,9.686173E-01,9.639013E-01,9.582268E-01,9.510521E-01,9.427313E-01,9.322547E-01,9.186097E-01,9.035760E-01,8.849053E-01,8.632362E-01,8.400670E-01,8.102409E-01,7.768698E-01,7.380234E-01,6.965383E-01,6.518075E-01,6.042609E-01,5.504463E-01,4.994261E-01,4.440072E-01,3.904291E-01,3.376757E-01,2.868047E-01,2.438383E-01,2.010844E-01,1.630576E-01,1.284657E-01,1.014743E-01,7.734510E-02,5.917676E-02,4.352440E-02,3.197755E-02,2.175977E-02,1.538049E-02,9.455018E-03,6.975557E-03,4.489890E-03,2.496878E-03,1.498876E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78439,-41.32050,0.00000,9.737083E-01,9.707683E-01,9.665933E-01,9.615924E-01,9.550858E-01,9.474505E-01,9.379305E-01,9.267223E-01,9.126647E-01,8.954406E-01,8.757550E-01,8.533930E-01,8.268332E-01,7.951546E-01,7.604517E-01,7.209879E-01,6.793804E-01,6.310152E-01,5.814672E-01,5.278696E-01,4.758618E-01,4.227616E-01,3.706074E-01,3.171636E-01,2.731245E-01,2.312581E-01,1.869804E-01,1.512580E-01,1.188259E-01,9.199011E-02,7.086386E-02,5.446086E-02,3.969084E-02,2.809771E-02,2.078103E-02,1.439538E-02,9.455018E-03,6.478921E-03,4.489890E-03,2.995505E-03,1.498876E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78909,-41.32430,0.00000,9.656104E-01,9.605807E-01,9.540867E-01,9.455787E-01,9.360402E-01,9.240363E-01,9.102745E-01,8.937542E-01,8.736880E-01,8.497568E-01,8.222718E-01,7.924743E-01,7.564663E-01,7.149242E-01,6.710995E-01,6.212959E-01,5.715152E-01,5.195346E-01,4.642030E-01,4.140378E-01,3.620529E-01,3.157966E-01,2.672861E-01,2.262450E-01,1.861669E-01,1.521063E-01,1.210260E-01,9.561489E-02,7.457297E-02,5.493351E-02,4.017087E-02,2.955447E-02,2.078103E-02,1.439538E-02,1.044507E-02,6.975557E-03,4.489890E-03,2.995505E-03,1.998001E-03,9.995002E-04,9.995002E-04,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.82330,-41.30600,0.00000,9.656790E-01,9.603435E-01,9.536484E-01,9.454970E-01,9.360082E-01,9.242260E-01,9.104537E-01,8.933817E-01,8.740034E-01,8.489282E-01,8.228042E-01,7.918507E-01,7.564663E-01,7.169127E-01,6.719207E-01,6.260002E-01,5.732257E-01,5.195346E-01,4.697995E-01,4.140378E-01,3.617339E-01,3.123670E-01,2.665530E-01,2.235321E-01,1.833135E-01,1.452959E-01,1.170617E-01,9.244400E-02,7.132830E-02,5.446086E-02,3.921056E-02,2.809771E-02,2.078103E-02,1.390246E-02,9.950167E-03,6.478921E-03,4.987521E-03,3.493882E-03,1.998001E-03,1.498876E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
