#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-08-20T05:18:33', checksum=2950940446, kind='quantile-0.15', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0011775,poe-0.0013865,poe-0.0016326,poe-0.0019224,poe-0.0022636,poe-0.0026654,poe-0.0031386,poe-0.0036957,poe-0.0043517,poe-0.0051241,poe-0.0060336,poe-0.0071046,poe-0.0083657,poe-0.0098506,poe-0.0115991,poe-0.0136580,poe-0.0160823,poe-0.0189369,poe-0.0222983,poe-0.0262563,poe-0.0309168,poe-0.0364046,poe-0.0428665,poe-0.0504754,poe-0.0594349,poe-0.0699847,poe-0.0824071,poe-0.0970346,poe-0.1142584,poe-0.1345395,poe-0.1584205,poe-0.1865405,poe-0.2196518,poe-0.2586404,poe-0.3045496,poe-0.3586078,poe-0.4222614,poe-0.4972136,poe-0.5854700,poe-0.6893921,poe-0.8117606,poe-0.9558498,poe-1.1255150,poe-1.3252962,poe-1.5605390,poe-1.8375378,poe-2.1637044,poe-2.5477663,poe-3.0000000
174.82330,-41.31460,0.00000,9.744802E-01,9.714985E-01,9.679032E-01,9.631351E-01,9.571220E-01,9.497628E-01,9.407210E-01,9.295249E-01,9.157360E-01,8.992688E-01,8.796068E-01,8.571554E-01,8.300730E-01,7.990683E-01,7.649600E-01,7.243971E-01,6.792821E-01,6.335525E-01,5.847190E-01,5.359202E-01,4.863931E-01,4.332857E-01,3.882919E-01,3.408466E-01,2.941122E-01,2.508379E-01,2.074487E-01,1.703903E-01,1.385168E-01,1.104148E-01,8.460534E-02,6.274503E-02,4.352440E-02,3.081515E-02,2.107468E-02,1.340928E-02,8.364799E-03,4.887995E-03,2.995505E-03,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.81419,-41.32070,0.00000,9.582602E-01,9.509982E-01,9.421266E-01,9.320090E-01,9.183652E-01,9.023826E-01,8.834226E-01,8.611137E-01,8.349489E-01,8.048903E-01,7.706930E-01,7.311494E-01,6.893212E-01,6.421709E-01,5.971900E-01,5.441074E-01,4.945971E-01,4.448406E-01,3.988421E-01,3.527990E-01,3.076048E-01,2.658178E-01,2.274032E-01,1.922478E-01,1.618817E-01,1.302065E-01,1.066706E-01,8.606882E-02,6.527228E-02,4.781839E-02,3.439458E-02,2.508011E-02,1.685631E-02,1.242220E-02,8.959621E-03,5.285900E-03,2.995505E-03,1.998001E-03,8.995751E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.80141,-41.32100,0.00000,9.734520E-01,9.701986E-01,9.663586E-01,9.612018E-01,9.543247E-01,9.460447E-01,9.362379E-01,9.239517E-01,9.084710E-01,8.906389E-01,8.703867E-01,8.463380E-01,8.180639E-01,7.862607E-01,7.499513E-01,7.104123E-01,6.662955E-01,6.184048E-01,5.685483E-01,5.159153E-01,4.673001E-01,4.161999E-01,3.685900E-01,3.249709E-01,2.780504E-01,2.346326E-01,1.952300E-01,1.639764E-01,1.321173E-01,1.040756E-01,7.918856E-02,5.964705E-02,4.400252E-02,3.003957E-02,1.931110E-02,1.192829E-02,8.364799E-03,4.489890E-03,1.998001E-03,1.399001E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.76759,-41.28910,0.00000,9.588852E-01,9.521924E-01,9.432840E-01,9.327474E-01,9.197008E-01,9.039224E-01,8.856851E-01,8.632087E-01,8.374873E-01,8.076409E-01,7.739276E-01,7.357583E-01,6.938864E-01,6.488645E-01,6.013588E-01,5.527773E-01,5.026191E-01,4.520110E-01,4.008839E-01,3.526701E-01,3.078136E-01,2.666988E-01,2.277910E-01,1.924092E-01,1.580204E-01,1.288142E-01,1.041659E-01,8.157927E-02,6.349431E-02,4.819965E-02,3.584190E-02,2.556745E-02,1.734776E-02,1.242220E-02,8.463977E-03,5.783133E-03,3.394207E-03,1.998001E-03,1.399001E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.83380,-41.15670,0.00000,9.603871E-01,9.535509E-01,9.450700E-01,9.344407E-01,9.224706E-01,9.077079E-01,8.896500E-01,8.680325E-01,8.432025E-01,8.141653E-01,7.802357E-01,7.432361E-01,7.022790E-01,6.550644E-01,6.061558E-01,5.569178E-01,5.035108E-01,4.559337E-01,4.013607E-01,3.520229E-01,3.055942E-01,2.611791E-01,2.231434E-01,1.876304E-01,1.548997E-01,1.248850E-01,1.021928E-01,7.964885E-02,5.889430E-02,4.581717E-02,3.391166E-02,2.410471E-02,1.606931E-02,1.004885E-02,6.478921E-03,4.489890E-03,2.995505E-03,1.898176E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.81689,-41.18150,0.00000,9.596958E-01,9.530839E-01,9.443626E-01,9.336092E-01,9.204205E-01,9.046689E-01,8.869358E-01,8.659845E-01,8.415459E-01,8.112251E-01,7.798146E-01,7.402927E-01,6.993474E-01,6.545804E-01,6.054068E-01,5.535375E-01,5.063347E-01,4.522297E-01,4.027379E-01,3.546742E-01,3.103006E-01,2.680185E-01,2.283312E-01,1.924092E-01,1.570090E-01,1.275064E-01,1.021920E-01,7.918856E-02,6.068057E-02,4.667549E-02,3.429800E-02,2.371429E-02,1.715114E-02,1.232342E-02,7.968085E-03,4.489890E-03,2.995505E-03,1.498876E-03,1.498876E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.81979,-41.21670,0.00000,9.592826E-01,9.523323E-01,9.433123E-01,9.325723E-01,9.197572E-01,9.051064E-01,8.871843E-01,8.651375E-01,8.396820E-01,8.115453E-01,7.778938E-01,7.407827E-01,6.972048E-01,6.522599E-01,6.048540E-01,5.568724E-01,5.029176E-01,4.516256E-01,4.020810E-01,3.562774E-01,3.088511E-01,2.642758E-01,2.256256E-01,1.919244E-01,1.567569E-01,1.290744E-01,1.035385E-01,8.213028E-02,6.321354E-02,4.772363E-02,3.487727E-02,2.585958E-02,1.715114E-02,1.044507E-02,5.484903E-03,3.493882E-03,2.496878E-03,9.995002E-04,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.82719,-41.17400,0.00000,9.757321E-01,9.730371E-01,9.693493E-01,9.647925E-01,9.590784E-01,9.519541E-01,9.426911E-01,9.320375E-01,9.190157E-01,9.029859E-01,8.851222E-01,8.629484E-01,8.382640E-01,8.082743E-01,7.724757E-01,7.349921E-01,6.908102E-01,6.433497E-01,5.946887E-01,5.418671E-01,4.886488E-01,4.366194E-01,3.858401E-01,3.371455E-01,2.926990E-01,2.516611E-01,2.096662E-01,1.731233E-01,1.387754E-01,1.077416E-01,8.414753E-02,6.237011E-02,4.390689E-02,3.003957E-02,1.980133E-02,1.242220E-02,7.273340E-03,3.493882E-03,1.898176E-03,9.995002E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.83900,-41.17730,0.00000,9.755909E-01,9.729589E-01,9.693830E-01,9.648454E-01,9.591764E-01,9.521650E-01,9.433405E-01,9.327264E-01,9.193551E-01,9.038552E-01,8.847325E-01,8.632218E-01,8.376660E-01,8.071996E-01,7.736559E-01,7.329441E-01,6.905311E-01,6.445958E-01,5.954579E-01,5.451552E-01,4.934317E-01,4.389246E-01,3.889033E-01,3.385361E-01,2.884431E-01,2.473838E-01,2.084006E-01,1.674816E-01,1.374826E-01,1.093466E-01,8.213028E-02,5.964705E-02,4.295032E-02,2.955447E-02,2.078103E-02,1.242220E-02,7.372668E-03,3.992011E-03,1.498876E-03,8.995751E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.81219,-41.19640,0.00000,9.595949E-01,9.525652E-01,9.439101E-01,9.337023E-01,9.209756E-01,9.056270E-01,8.880273E-01,8.663992E-01,8.407213E-01,8.111683E-01,7.774268E-01,7.399548E-01,6.977496E-01,6.530240E-01,6.026745E-01,5.541621E-01,5.040598E-01,4.523395E-01,4.026188E-01,3.540283E-01,3.099557E-01,2.695487E-01,2.267855E-01,1.887660E-01,1.583575E-01,1.287270E-01,1.036282E-01,7.992402E-02,6.283881E-02,4.629414E-02,3.429800E-02,2.420231E-02,1.705275E-02,1.084079E-02,6.975557E-03,5.385426E-03,2.995505E-03,1.498876E-03,4.998750E-04,4.998750E-04,3.999000E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
